2017-02-23 13:17:48.526205 Oops, there was a problem with ftp.
2017-02-23 13:20:08.680306 Sim tanks updated, ftp transfer success!
2017-02-23 13:22:09.105240 Sim tanks updated, ftp transfer success!
2017-02-23 13:24:09.474350 Sim tanks updated, ftp transfer success!
2017-02-23 13:26:09.913116 Sim tanks updated, ftp transfer success!
2017-02-23 13:28:10.335051 Sim tanks updated, ftp transfer success!
2017-02-23 13:30:10.760319 Sim tanks updated, ftp transfer success!
2017-02-23 13:32:11.150143 Sim tanks updated, ftp transfer success!
2017-02-23 13:34:11.563875 Sim tanks updated, ftp transfer success!
2017-02-23 13:36:11.922208 Sim tanks updated, ftp transfer success!
2017-02-23 13:38:14.695669 Sim tanks updated, ftp transfer success!
2017-02-23 13:40:15.050183 Sim tanks updated, ftp transfer success!
2017-02-23 13:42:15.445383 Sim tanks updated, ftp transfer success!
2017-02-23 13:44:15.850632 Sim tanks updated, ftp transfer success!
2017-02-23 13:46:16.258991 Sim tanks updated, ftp transfer success!
2017-02-23 13:48:16.640164 Sim tanks updated, ftp transfer success!
2017-02-23 13:50:17.046441 Sim tanks updated, ftp transfer success!
2017-02-23 13:52:17.467211 Sim tanks updated, ftp transfer success!
2017-02-23 13:54:17.907825 Sim tanks updated, ftp transfer success!
2017-02-23 13:56:18.345379 Sim tanks updated, ftp transfer success!
2017-02-23 13:58:18.798493 Sim tanks updated, ftp transfer success!
2017-02-23 14:00:19.150169 Sim tanks updated, ftp transfer success!
2017-02-23 14:02:24.571299 Sim tanks updated, ftp transfer success!
2017-02-23 14:04:35.001376 Sim tanks updated, ftp transfer success!
2017-02-23 14:06:35.373270 Sim tanks updated, ftp transfer success!
2017-02-23 14:08:35.789200 Sim tanks updated, ftp transfer success!
2017-02-23 14:10:36.150182 Sim tanks updated, ftp transfer success!
2017-02-23 14:12:36.589274 Sim tanks updated, ftp transfer success!
2017-02-23 14:14:37.347216 Sim tanks updated, ftp transfer success!
2017-02-23 14:16:37.771047 Sim tanks updated, ftp transfer success!
2017-02-23 14:20:33.793943 Sim tanks updated, ftp transfer success!
2017-02-23 14:25:50.380860 Sim tanks updated, ftp transfer success!
2017-02-23 17:25:56.120182 Sim tanks updated, ftp transfer success!
2017-02-23 20:25:56.552516 Sim tanks updated, ftp transfer success!
2017-02-23 23:25:56.900186 Sim tanks updated, ftp transfer success!
2017-02-24 02:25:57.335760 Sim tanks updated, ftp transfer success!
2017-02-24 05:25:57.783877 Sim tanks updated, ftp transfer success!
2017-02-24 08:25:58.150182 Sim tanks updated, ftp transfer success!
2017-02-24 09:22:14.753131 Sim tanks updated, ftp transfer success!
2017-02-24 09:30:03.005380 Sim tanks updated, ftp transfer success!
2017-02-24 11:30:03.400172 Sim tanks updated, ftp transfer success!
2017-02-24 13:02:44.462969 Sim tanks updated, ftp transfer success!
2017-02-24 15:02:44.891767 Sim tanks updated, ftp transfer success!
2017-02-24 17:02:45.679196 Sim tanks updated, ftp transfer success!
2017-02-24 19:02:46.115266 Sim tanks updated, ftp transfer success!
2017-02-24 21:02:46.571297 Sim tanks updated, ftp transfer success!
2017-02-24 23:02:47.011452 Sim tanks updated, ftp transfer success!
2017-02-25 01:02:47.458492 Sim tanks updated, ftp transfer success!
2017-02-25 03:02:47.902336 Sim tanks updated, ftp transfer success!
2017-02-25 05:02:48.349055 Sim tanks updated, ftp transfer success!
2017-02-25 07:02:48.790374 Sim tanks updated, ftp transfer success!
2017-02-25 09:02:49.150166 Sim tanks updated, ftp transfer success!
2017-02-25 11:02:49.595258 Sim tanks updated, ftp transfer success!
2017-02-25 13:02:50.250170 Sim tanks updated, ftp transfer success!
2017-02-25 15:02:53.722063 Sim tanks updated, ftp transfer success!
2017-02-25 17:02:54.150122 Sim tanks updated, ftp transfer success!
2017-02-25 19:02:54.577156 Sim tanks updated, ftp transfer success!
2017-02-25 21:02:55.015423 Sim tanks updated, ftp transfer success!
2017-02-25 23:02:55.400167 Sim tanks updated, ftp transfer success!
2017-02-26 01:02:55.837433 Sim tanks updated, ftp transfer success!
2017-02-26 03:02:56.275495 Sim tanks updated, ftp transfer success!
2017-02-26 05:02:56.650174 Sim tanks updated, ftp transfer success!
2017-02-26 07:02:57.089645 Sim tanks updated, ftp transfer success!
2017-02-26 09:02:57.544516 Sim tanks updated, ftp transfer success!
2017-02-26 11:02:57.900173 Sim tanks updated, ftp transfer success!
2017-02-26 13:02:58.334520 Sim tanks updated, ftp transfer success!
2017-02-26 15:02:58.774526 Sim tanks updated, ftp transfer success!
2017-02-26 17:02:59.150176 Sim tanks updated, ftp transfer success!
2017-02-26 19:02:59.594731 Sim tanks updated, ftp transfer success!
2017-02-26 21:03:00.041791 Sim tanks updated, ftp transfer success!
2017-02-26 23:03:00.400171 Sim tanks updated, ftp transfer success!
2017-02-27 01:03:00.849318 Sim tanks updated, ftp transfer success!
2017-02-27 03:03:01.302574 Sim tanks updated, ftp transfer success!
2017-02-27 05:03:01.650169 Sim tanks updated, ftp transfer success!
2017-02-27 07:03:03.091912 Sim tanks updated, ftp transfer success!
2017-02-27 08:51:34.262758 Sim tanks updated, ftp transfer success!
2017-02-27 08:53:31.683365 Sim tanks updated, ftp transfer success!
2017-02-27 09:31:31.056924 Sim tanks updated, ftp transfer success!
2017-02-27 12:11:23.964233 Sim tanks updated, ftp transfer success!
2017-02-27 12:40:58.979796 Sim tanks updated, ftp transfer success!
2017-02-27 13:20:05.991219 Sim tanks updated, ftp transfer success!
